CC(C1CC(=O)N1)*;C(#N);CC(C#N)C1CC(=O)N1
CC(C)N=C(C#N)*;N(C);CNC(C#N)=NC(C)C
CC(C)(C1CN1)*;C(N)(=O);CC(C)(C(N)=O)C1CN1
CC1CC(C)(O*)C1;C(=O);CC1CC(C)(OC=O)C1
c1(*)coc(C)n1;CCC;CCCc1coc(C)n1
CC(C)(COC=O)*;C(#C);C#CC(C)(C)COC=O
CC1C2CCN2C1*;C(#N);CC1C(C#N)N2CCC12
c1c(C*)coc1N;C(O);Nc1cc(CCO)co1
COCC*;C(=O)(OC);COCCC(=O)OC
C(=O)c1c(*)n[nH]n1;C(=O);O=Cc1n[nH]nc1C=O
CC1OC1C1CC1*;C(#C);C#CC1CC1C1OC1C
CC(=O)CCC(O)*;C(#C);C#CC(O)CCC(C)=O
ON=C1CC(O*)C1;C(=O);O=COC1CC(=NO)C1
C(O)(CO)(C(C)=O)*;CC;CCC(O)(CO)C(C)=O
CC12NC1CC2O*;C(=O);CC12NC1CC2OC=O
CCC1(*)OCC1O;C(=O);CCC1(C=O)OCC1O
OCC1OC1*;C(=O)(C=O);O=CC(=O)C1OC1CO
CC(C)(C1(C)CO1)*;C(#N);CC(C)(C#N)C1(C)CO1
CC1=CCC(=O)C1*;C(=O);CC1=CCC(=O)C1C=O
C(C(=O)C=O)*;CCCC;CCCCCC(=O)C=O
C1C=CC=C(*)C=C1;C(=O);O=CC1=CC=CCC=C1
CC(C)(C)CCO*;C(=O);CC(C)(C)CCOC=O
C(C#N)C(CO)*;C(C#N);N#CCC(CO)CC#N
OCC1CC1(O)*;C(#N);N#CC1(O)CC1CO
C1C(O)CN1*;C(CO);OCCN1CC(O)C1
NC1C(*)C1(O)C#N;C(#N);N#CC1C(N)C1(O)C#N
C1C=C(*)CC(=O)O1;C(O);O=C1CC(CO)=CCO1
CC(NC=O)C(C)*;C(=O);CC(C=O)C(C)NC=O
CCC(C)C(C)*;C(CO);CCC(C)C(C)CCO
c1(*)c2n(nn1)CC2;CC;CCc1nnn2c1CC2
C(C(C)CC#N)*;CC;CCCC(C)CC#N
COc1cnc(*)o1;C(N);COc1cnc(CN)o1
CC12CC1(O*)CC2;C(=O);CC12CCC1(OC=O)C2
CCCC1CC1C*;O(C);CCCC1CC1COC
C[NH2+]C(C(C)O)*;C([O-])(=O);C[NH2+]C(C(=O)[O-])C(C)O
CCC(CO)*;O(C=N);CCC(CO)OC=N
NC(=O)C(O)C#C*;C(#C);C#CC#CC(O)C(N)=O
OC1CC2CC12*;N(C=O);O=CNC12CC1CC2O
OC1CC2(O)C(*)C12;C(#N);N#CC1C2C(O)CC12O
CC(C)C(=O)C(O)*;C(#C);C#CC(O)C(=O)C(C)C
CC(=NO)*;C(#CCO);CC(C#CCO)=NO
OC1C2C=CC(*)C12;C(=O);O=CC1C=CC2C(O)C12
NC(C(N)=O)*;C(F)(F)(F);NC(=O)C(N)C(F)(F)F
CCCCCC*;C(=O)(N);CCCCCCC(N)=O
OC1C=C(*)C2NC12;C(#C);C#CC1=CC(O)C2NC12
NC1C(*)CC12CO2;C(#N);N#CC1CC2(CO2)C1N
C1CC1(CCO)*;C(C#N);N#CCC1(CCO)CC1
N=c1[nH]c(*)cnc1;C(#C);C#Cc1cncc(=N)[nH]1
OCC1C(*)C1CO;C(O);OCC1C(CO)C1CO
N=C1OCC12OC2*;C(#C);C#CC1OC12COC2=N
O=C1NCC1*;C(C#N);N#CCC1CNC1=O
