CCCNC(=O)c1ccccc1N*;S(=O)(=O)(c1ccc(SC)cc1);CCCNC(=O)c1ccccc1NS(=O)(=O)c1ccc(SC)cc1
CCOc1ccccc1OC*;C(=O)(NCc1ccccc1F);CCOc1ccccc1OCC(=O)NCc1ccccc1F
O=C(Nc1ccc2c(c1)OCO2)*;C(Sc1nc(-c2cccs2)n[nH]1);O=C(CSc1nc(-c2cccs2)n[nH]1)Nc1ccc2c(c1)OCO2
O=C(N[C@H]1CCCC[C@@H]1*)c1ccccn1;N(C(=O)c1ccccn1);O=C(N[C@H]1CCCC[C@@H]1NC(=O)c1ccccn1)c1ccccn1
CN(C(=O)c1ccc(I)cc1)*;C(c1cccc(Cl)c1Cl);CN(Cc1cccc(Cl)c1Cl)C(=O)c1ccc(I)cc1
O=C(C*)Nc1cccc(Br)c1;O(C(=O)C1CCCCC1);O=C(COC(=O)C1CCCCC1)Nc1cccc(Br)c1
O=C(CNC(=O)c1ccccc1Br)*;N(c1nc2ccccc2[nH]1);O=C(CNC(=O)c1ccccc1Br)Nc1nc2ccccc2[nH]1
Cn1ccs/c1=N\C(=O)*;C(Oc1ccccc1F);Cn1ccs/c1=N\C(=O)COc1ccccc1F
O=C(Nc1ccc(Br)cc1F)*;C(n1cnc2ccccc12);O=C(Cn1cnc2ccccc21)Nc1ccc(Br)cc1F
O=C(C[C@H]1[NH2+]CCNC1=O)*;O(CCCc1ccccc1);O=C(C[C@H]1[NH2+]CCNC1=O)OCCCc1ccccc1
O=C(Nc1ccc(F)c(Cl)c1)*;C(Oc1ccc(F)cc1Cl);O=C(COc1ccc(F)cc1Cl)Nc1ccc(F)c(Cl)c1
O=C(C*)Nc1ccc2c(c1)OCCO2;O(c1cccc(Cl)c1Cl);O=C(COc1cccc(Cl)c1Cl)Nc1ccc2c(c1)OCCO2
NC(=O)c1ccccc1OCC(=O)*;N(c1cccc2ccccc12);NC(=O)c1ccccc1OCC(=O)Nc1cccc2ccccc12
O=C(C*)Nc1ccccc1;S(c1nnc([O-])[nH]c1=O);O=C(CSc1nnc([O-])[nH]c1=O)Nc1ccccc1
